frame,timestamp
0,1689046076.9468083
1,1689046076.9788074
2,1689046077.0108082
3,1689046077.042808
4,1689046077.074808
5,1689046077.1068077
6,1689046077.1388092
7,1689046077.1708078
8,1689046077.2028072
9,1689046077.2348073
10,1689046077.282807
11,1689046077.3148074
12,1689046077.3468084
13,1689046077.3788075
14,1689046077.4108076
15,1689046077.4428067
16,1689046077.474646
17,1689046077.5070782
18,1689046077.5390768
19,1689046077.570077
20,1689046077.603076
21,1689046077.6510766
22,1689046077.6830761
23,1689046077.7140765
24,1689046077.7470763
25,1689046077.7790763
26,1689046077.8110774
27,1689046077.8430772
28,1689046077.8740761
29,1689046077.9070752
30,1689046077.9386816
31,1689046077.9711576
32,1689046078.0031562
33,1689046078.034155
34,1689046078.0821552
35,1689046078.1141562
36,1689046078.1471553
37,1689046078.1791549
38,1689046078.2111547
39,1689046078.242435
40,1689046078.2741995
41,1689046078.3061993
42,1689046078.338469
43,1689046078.370219
44,1689046078.4026244
45,1689046078.434624
46,1689046078.4826243
47,1689046078.514624
48,1689046078.5466242
49,1689046078.5786247
50,1689046078.6115801
51,1689046078.6428027
52,1689046078.6748025
53,1689046078.7069602
54,1689046078.7382987
55,1689046078.7707639
56,1689046078.802864
57,1689046078.8500965
58,1689046078.8831198
59,1689046078.9151204
60,1689046078.9471204
61,1689046078.978361
62,1689046079.0105577
63,1689046079.042147
64,1689046079.0741472
65,1689046079.1071424
66,1689046079.1381474
67,1689046079.1711426
68,1689046079.2022583
69,1689046079.2342591
70,1689046079.2822633
71,1689046079.315259
72,1689046079.3462584
73,1689046079.378263
74,1689046079.4102583
75,1689046079.442258
76,1689046079.4742582
77,1689046079.506258
78,1689046079.5382628
79,1689046079.5702581
80,1689046079.602258
81,1689046079.634258
82,1689046079.6822572
83,1689046079.714258
84,1689046079.7462578
85,1689046079.7782576
86,1689046079.810258
87,1689046079.8422568
88,1689046079.8742573
89,1689046079.9062626
90,1689046079.9382575
91,1689046079.970257
92,1689046080.0022573
93,1689046080.0342581
94,1689046080.0822575
95,1689046080.1142564
96,1689046080.1461663
97,1689046080.1790347
98,1689046080.2110343
99,1689046080.2430348
100,1689046080.2750347
101,1689046080.3070338
102,1689046080.3387651
103,1689046080.3704367
104,1689046080.4029286
105,1689046080.43444
106,1689046080.4828975
107,1689046080.5146003
108,1689046080.546326
109,1689046080.5786266
110,1689046080.6110492
111,1689046080.6425197
112,1689046080.674427
113,1689046080.7071586
114,1689046080.7390945
115,1689046080.7705903
116,1689046080.802599
117,1689046080.8345907
118,1689046080.8825905
119,1689046080.9145904
120,1689046080.9465902
121,1689046080.9785898
122,1689046081.0105958
123,1689046081.0425904
124,1689046081.0745962
125,1689046081.1065903
126,1689046081.1385896
127,1689046081.17059
128,1689046081.2025898
129,1689046081.2345893
130,1689046081.2825892
131,1689046081.31459
132,1689046081.3465893
133,1689046081.3785892
134,1689046081.4105897
135,1689046081.442589
136,1689046081.47459
137,1689046081.5065894
138,1689046081.5385892
139,1689046081.5705898
140,1689046081.6025887
141,1689046081.6345892
142,1689046081.6825898
143,1689046081.7145894
144,1689046081.7465892
145,1689046081.7785892
146,1689046081.810589
147,1689046081.842589
148,1689046081.8745885
149,1689046081.906589
150,1689046081.9385886
151,1689046081.9705887
152,1689046082.0025887
153,1689046082.03459
154,1689046082.082588
155,1689046082.1145883
156,1689046082.146593
157,1689046082.1785934
158,1689046082.2105885
159,1689046082.2425876
160,1689046082.2745883
161,1689046082.3065877
162,1689046082.338588
163,1689046082.3705883
164,1689046082.4022424
165,1689046082.4346716
166,1689046082.482692
167,1689046082.5146961
168,1689046082.5466921
169,1689046082.5786922
170,1689046082.6108341
171,1689046082.6426148
172,1689046082.6746144
173,1689046082.7069824
174,1689046082.7389832
175,1689046082.771109
176,1689046082.8026547
177,1689046082.8345206
178,1689046082.8826985
179,1689046082.9146993
180,1689046082.9466984
181,1689046082.978699
182,1689046083.0117047
183,1689046083.042699
184,1689046083.0746984
185,1689046083.106699
186,1689046083.1386988
187,1689046083.1706984
188,1689046083.2026987
189,1689046083.2346988
190,1689046083.2666981
191,1689046083.3146985
192,1689046083.3466985
193,1689046083.3786988
194,1689046083.4105773
195,1689046083.4425771
196,1689046083.4745772
197,1689046083.506577
198,1689046083.5385776
199,1689046083.5705779
200,1689046083.6025777
201,1689046083.635095
202,1689046083.6823046
203,1689046083.7143042
