timestamp,bvp
1689041931.4440057,15
1689041931.4940016,16
1689041931.5440028,39
1689041931.5940013,76
1689041931.6440046,91
1689041931.6940014,82
1689041931.7440004,71
1689041931.7800055,60
1689041931.827002,55
1689041931.8770018,53
1689041931.9270008,53
1689041931.9770012,48
1689041932.0270066,40
1689041932.0770023,34
1689041932.1270006,29
1689041932.1770003,27
1689041932.2270005,24
1689041932.2770042,30
1689041932.3270006,59
1689041932.3770041,87
1689041932.4270027,87
1689041932.4770002,78
1689041932.5270011,69
1689041932.5770001,61
1689041932.6270006,57
1689041932.6770024,54
1689041932.7270002,49
1689041932.7770038,41
1689041932.8100033,34
1689041932.8599987,29
1689041932.91,24
1689041932.9599998,21
1689041933.0100029,18
1689041933.0599992,25
1689041933.110003,54
1689041933.1609995,81
1689041933.2109985,81
1689041933.2609987,72
1689041933.3109999,64
1689041933.3609989,57
1689041933.411,53
1689041933.460998,50
1689041933.5109985,45
1689041933.5609984,39
1689041933.6110022,31
1689041933.6609988,25
1689041933.711002,21
1689041933.7609985,17
1689041933.7939985,15
1689041933.8440034,14
1689041933.8939977,15
1689041933.9440012,40
1689041933.9939976,73
1689041934.0439978,79
1689041934.0939982,70
1689041934.1440012,61
1689041934.1939988,53
1689041934.244001,49
1689041934.2939978,46
1689041934.344001,42
1689041934.393997,36
1689041934.4439967,27
1689041934.4940016,21
1689041934.5440006,16
1689041934.5940142,12
1689041934.6439953,9
1689041934.6939955,7
1689041934.744,4
1689041934.779996,6
1689041934.8290002,23
1689041934.8769975,59
1689041934.927,76
1689041934.9769976,66
1689041935.0269978,52
1689041935.0769997,41
1689041935.1269946,37
1689041935.1769955,37
1689041935.2269976,35
1689041935.2769952,28
1689041935.326999,20
1689041935.3769944,14
1689041935.4270115,10
1689041935.4769964,7
1689041935.526995,5
1689041935.576995,3
1689041935.626995,1
1689041935.677,1
1689041935.7265365,21
1689041935.776541,61
1689041935.8105414,81
1689041935.8605359,76
1689041935.9105382,60
1689041935.9605424,46
1689041936.0105362,40
1689041936.060535,40
1689041936.1105342,40
1689041936.161536,36
1689041936.2105339,28
1689041936.2615347,22
1689041936.310541,17
1689041936.3605351,15
1689041936.4105341,14
1689041936.4605339,13
1689041936.5105388,12
1689041936.5605345,27
1689041936.610535,69
1689041936.6605349,97
1689041936.7105343,91
1689041936.7605343,74
1689041936.7935345,59
1689041936.849538,53
1689041936.8995335,52
1689041936.9495337,54
1689041937.0075352,50
1689041937.0575392,40
1689041937.107534,33
1689041937.1575372,28
1689041937.208534,25
1689041937.2575338,23
1689041937.3075335,22
1689041937.3575332,21
1689041937.4075332,39
1689041937.4575372,78
1689041937.5075338,100
1689041937.5585372,93
1689041937.6075325,80
1689041937.6575363,69
1689041937.7075336,62
1689041937.7575338,60
1689041937.7905347,57
1689041937.840532,54
1689041937.8905363,46
1689041937.940532,34
1689041937.9905357,27
1689041938.0405326,21
1689041938.090532,17
1689041938.1405597,13
1689041938.1905627,9
1689041938.2405624,6
1689041938.292564,19
1689041938.3425589,59
1689041938.3905623,86
1689041938.4405587,81
1689041938.4905622,67
1689041938.5405633,56
1689041938.5905619,50
1689041938.641558,51
1689041938.6915574,50
1689041938.741557,43
1689041938.7795618,35
1689041938.8275592,28
1689041938.8775566,20
1689041938.927559,14
1689041938.9775574,11
1689041939.0275612,8
1689041939.0775573,5
1689041939.1275566,2
1689041939.177557,18
1689041939.2275584,60
1689041939.2775612,86
1689041939.3275607,78
1689041939.3775568,61
1689041939.4275575,47
1689041939.4775565,42
1689041939.527564,45
1689041939.5775561,45
1689041939.6275566,38
1689041939.6775572,26
1689041939.72756,15
1689041939.7775552,7
1689041939.8155575,2
1689041939.8635607,0
1689041939.9135559,0
1689041939.964555,0
1689041940.024555,0
1689041940.0745559,17
1689041940.1245596,71
1689041940.174555,86
1689041940.2245572,74
1689041940.2745552,55
1689041940.32456,41
1689041940.375555,37
1689041940.424562,39
1689041940.4745545,38
1689041940.5245566,30
1689041940.5745554,21
1689041940.624554,14
1689041940.6745555,9
1689041940.7245543,6
1689041940.7745547,5
1689041940.8125582,5
1689041940.8605535,18
1689041940.9105556,58
1689041940.9605582,90
1689041941.0105534,86
1689041941.0605578,69
1689041941.1105537,52
1689041941.1605551,44
1689041941.210554,47
1689041941.2605538,49
1689041941.310554,43
1689041941.3605528,34
1689041941.4105546,26
1689041941.4605548,20
1689041941.5105531,18
1689041941.5605571,17
1689041941.610553,19
1689041941.6605546,47
1689041941.7105541,89
1689041941.7605522,100
1689041941.7945526,87
1689041941.8445528,77
1689041941.8945518,66
1689041941.9445524,62
1689041941.9953043,63
1689041942.0453036,60
1689041942.0953038,52
1689041942.145299,42
1689041942.195298,34
1689041942.2452986,28
1689041942.2953029,24
1689041942.3453789,22
1689041942.3953831,21
1689041942.445383,43
1689041942.495382,81
1689041942.545378,94
1689041942.595382,86
1689041942.645379,76
1689041942.6953785,70
1689041942.7453778,64
1689041942.7813778,61
1689041942.8283765,59
1689041942.8783767,53
1689041942.9283814,44
1689041942.9793787,38
1689041943.0283775,32
1689041943.0783772,29
1689041943.1283772,26
1689041943.1783774,24
1689041943.2283807,28
1689041943.2783806,53
1689041943.3283806,79
1689041943.3783777,80
1689041943.4283764,71
1689041943.4783766,63
1689041943.5283756,57
1689041943.5783803,53
1689041943.6283765,51
1689041943.67838,46
1689041943.72838,39
1689041943.778388,31
1689041943.8113759,26
1689041943.861376,23
1689041943.9113793,20
1689041943.961375,17
1689041944.0113766,15
1689041944.0613763,12
1689041944.111376,15
1689041944.1613796,43
1689041944.2113743,72
1689041944.261375,72
1689041944.3113792,61
1689041944.3613758,51
1689041944.4113755,46
1689041944.4613767,46
1689041944.5113788,46
1689041944.5613785,41
1689041944.6113746,32
1689041944.6613746,21
1689041944.7113786,15
1689041944.7613745,9
1689041944.795381,6
1689041944.8503742,5
1689041944.900375,5
1689041944.9503758,3
1689041945.0093794,5
1689041945.061374,40
1689041945.111373,75
1689041945.1613736,76
1689041945.2113748,62
1689041945.2613788,47
1689041945.3113754,41
1689041945.361378,43
1689041945.4113722,44
1689041945.4613733,38
1689041945.5113723,27
1689041945.5613737,17
1689041945.6113734,11
1689041945.6613774,7
1689041945.7113783,5
1689041945.7613719,2
1689041945.8123763,5
1689041945.8623724,39
1689041945.912372,73
1689041945.9623744,76
1689041946.0123715,61
1689041946.0623763,45
1689041946.1123722,36
1689041946.1623719,37
1689041946.2123759,39
1689041946.2623723,34
1689041946.3123755,25
1689041946.3623722,16
1689041946.4123707,9
1689041946.4623754,5
1689041946.5123713,3
1689041946.5623715,2
1689041946.6123712,18
1689041946.6623702,60
1689041946.7123747,90
1689041946.7623718,85
1689041946.7953715,69
1689041946.8453715,58
1689041946.8953745,45
1689041946.945371,42
1689041946.9953718,41
1689041947.0453763,37
1689041947.0953705,28
1689041947.1453748,18
1689041947.195371,11
1689041947.2453742,6
1689041947.29537,3
1689041947.345369,11
1689041947.3953707,51
1689041947.445374,94
1689041947.4953701,98
1689041947.5453706,62
1689041947.595371,54
1689041947.6453714,47
1689041947.695371,45
1689041947.7453685,45
1689041947.7823684,44
1689041947.8303692,41
1689041947.8783731,38
1689041947.9283698,34
1689041947.9783714,33
1689041948.0283742,32
1689041948.0783727,31
1689041948.1283724,35
1689041948.1783693,51
1689041948.2283697,66
1689041948.2783687,66
1689041948.3283706,60
1689041948.3783686,55
1689041948.4283674,51
1689041948.4783685,49
1689041948.528371,48
1689041948.5783718,45
1689041948.6283681,40
1689041948.678367,36
1689041948.7283683,33
1689041948.7783718,31
1689041948.8123698,30
1689041948.8623667,29
1689041948.9123676,27
1689041948.962368,30
1689041949.0123713,45
1689041949.0623674,59
1689041949.112371,58
1689041949.1623673,54
1689041949.2123709,50
1689041949.2623708,47
1689041949.3123672,45
1689041949.3623667,43
1689041949.412368,41
1689041949.4623668,38
1689041949.512373,34
1689041949.5623674,32
1689041949.612372,31
1689041949.6623666,29
1689041949.7123702,28
1689041949.7623656,27
1689041949.7953682,26
1689041949.8453698,29
1689041949.8953674,44
1689041949.9453657,59
1689041949.995367,59
1689041950.045372,54
1689041950.0953739,50
1689041950.145369,46
1689041950.1953642,44
1689041950.2453692,42
1689041950.2953653,40
1689041950.345365,38
1689041950.3953657,35
1689041950.4453695,32
1689041950.4953651,30
1689041950.5453644,28
1689041950.595366,27
1689041950.6453686,26
1689041950.6953642,25
1689041950.7453692,35
1689041950.7813683,52
1689041950.8293695,58
1689041950.8793683,56
1689041950.9293706,50
1689041950.979363,45
1689041951.029365,42
1689041951.0793638,42
1689041951.1293643,42
1689041951.1793644,41
1689041951.2293675,37
1689041951.279363,33
1689041951.329363,30
1689041951.3793635,29
1689041951.4293642,27
1689041951.4793634,27
1689041951.5293622,26
1689041951.5793643,29
1689041951.6293654,45
1689041951.6793668,59
1689041951.729363,58
1689041951.7793686,51
1689041951.8173666,44
1689041951.865368,41
1689041951.9153624,40
1689041951.9653628,41
1689041952.0263617,40
1689041952.0763617,36
1689041952.1263685,31
1689041952.176366,27
1689041952.2263634,24
1689041952.276362,22
1689041952.3263621,21
1689041952.3763614,20
1689041952.4263608,24
1689041952.4763618,45
1689041952.5263655,58
1689041952.5763657,56
1689041952.6263652,47
1689041952.6763604,40
1689041952.7263615,36
1689041952.7763612,37
1689041952.809361,39
1689041952.8593624,38
1689041952.9093647,35
1689041952.9593647,31
1689041953.0093615,28
1689041953.0593662,26
1689041953.1093605,25
1689041953.1593611,25
1689041953.2093601,36
1689041953.2593606,54
1689041953.3093617,60
1689041953.3593605,53
1689041953.409364,45
1689041953.4593637,40
1689041953.5093596,38
1689041953.5593653,40
1689041953.6093595,40
1689041953.6593611,37
1689041953.7093637,34
1689041953.7593598,31
1689041953.793363,29
1689041953.843359,27
1689041953.8943634,29
1689041953.9443636,43
1689041953.994365,59
1689041954.0433586,61
1689041954.093363,54
1689041954.143359,47
1689041954.1933627,43
1689041954.2433596,43
1689041954.2933586,44
1689041954.3433592,42
1689041954.3933623,39
1689041954.4433577,36
1689041954.4933586,34
1689041954.543362,33
1689041954.5933619,34
1689041954.644358,46
1689041954.693357,61
1689041954.7433581,64
1689041954.7823622,60
1689041954.8263617,56
1689041954.8763568,53
1689041954.9263577,51
1689041954.9763575,50
1689041955.0263612,48
1689041955.0763583,45
1689041955.1263576,42
1689041955.176357,40
1689041955.2263608,40
1689041955.2763572,39
1689041955.3263566,41
1689041955.3763566,51
1689041955.4263582,61
1689041955.4763565,60
1689041955.5263565,73
1689041955.5763574,66
1689041955.6263602,61
1689041955.6763616,57
1689041955.7263565,55
1689041955.776355,50
1689041955.8103557,43
1689041955.8603563,40
1689041955.9103558,35
1689041955.9603596,33
1689041956.0103555,31
1689041956.06036,30
1689041956.1103563,41
1689041956.1603594,63
1689041956.2103543,72
1689041956.260359,66
1689041956.310355,59
1689041956.3603554,52
1689041956.4103587,47
1689041956.46036,45
1689041956.5103586,42
1689041956.5603616,38
1689041956.6103559,34
1689041956.6603584,29
1689041956.7103548,25
1689041956.760355,23
1689041956.7925088,20
1689041956.8425112,19
1689041956.8925064,17
1689041956.9425776,18
1689041956.992567,36
