timestamp,hr
1689045797.0817134,67
1689045798.1090827,67
1689045799.0926852,67
1689045800.0934124,66
1689045801.0826435,66
1689045802.0821607,66
1689045803.129378,67
1689045804.1174605,68
1689045805.1157615,69
1689045806.0969753,73
1689045807.0940104,75
1689045808.0822406,77
1689045809.0828009,77
1689045810.1106818,77
1689045811.0944734,77
1689045812.082472,77
1689045813.1103086,77
1689045814.1083071,77
1689045815.1136768,77
1689045816.0972521,78
1689045817.0942764,79
1689045818.108271,82
1689045819.0942748,82
1689045820.0832677,82
1689045821.1117835,82
1689045822.0947776,82
1689045823.083776,82
1689045824.1112146,82
1689045825.0952127,82
1689045826.0844977,82
1689045827.114149,82
1689045828.0981476,82
1689045829.0844953,82
1689045830.1144905,82
1689045831.0985405,82
1689045832.0848033,82
1689045833.1158242,82
1689045834.0988266,82
1689045835.1158206,80
1689045836.0987513,78
1689045837.0965517,77
1689045838.0967507,75
1689045839.0969698,73
1689045840.0858243,73
1689045841.113802,73
1689045842.0968,73
1689045843.0970094,71
1689045844.0960886,69
1689045845.0854897,69
1689045846.1134925,69
1689045847.0964904,69
1689045848.0951996,69
1689045849.0852313,67
1689045850.1165764,67
1689045851.0995753,67
1689045852.086093,67
1689045853.1160867,67
1689045854.100256,67
1689045855.0975885,66
1689045856.0860271,66
1689045857.1210294,66
1689045858.1032424,67
1689045859.108263,67
1689045860.0979197,67
1689045861.0868273,67
1689045862.1201463,67
1689045863.113939,68
1689045864.098205,68
1689045865.087686,68
1689045866.1156764,68
1689045867.0988348,68
1689045868.0878434,68
1689045869.1157362,68
1689045870.0987172,68
1689045871.1187208,69
1689045872.121719,70
1689045873.1047127,71
1689045874.0997155,71
1689045875.0872173,71
1689045876.1158667,71
1689045877.0998626,71
1689045878.088857,71
1689045879.1217113,71
1689045880.1027236,70
1689045881.0887272,69
1689045882.1217248,69
1689045883.1023307,67
1689045884.1151824,66
1689045885.0993598,65
1689045886.0883646,65
1689045887.11641,65
1689045888.1004229,65
1689045889.1020274,66
1689045890.111025,66
1689045891.1006668,66
1689045892.089666,66
1689045893.122454,66
1689045894.1173642,67
1689045895.100359,67
1689045896.0894234,67
1689045897.0954263,68
1689045898.0894248,68
1689045899.089418,68
1689045900.117417,68
1689045901.101626,68
1689045902.1026273,69
1689045903.090297,69
1689045904.1182973,69
1689045905.1150625,69
1689045906.1020591,69
1689045907.0900679,69
1689045908.0907414,70
1689045909.121661,71
1689045910.1046634,71
1689045911.0906615,71
1689045912.1210015,71
1689045913.1180048,71
1689045914.1019804,71
1689045915.0910363,71
1689045916.0910778,71
1689045917.1193426,71
1689045918.123341,71
1689045919.1193354,72
1689045920.1222692,72
1689045921.1197226,73
1689045922.1117246,73
1689045923.1027231,73
1689045924.0917218,73
1689045925.0918062,73
1689045926.119794,73
1689045927.1037922,73
1689045928.09241,73
1689045929.0924218,73
1689045930.1204238,73
1689045931.10457,73
1689045932.1029432,73
1689045933.091941,73
1689045934.124941,73
1689045935.1059403,74
1689045936.1029186,74
1689045937.0925422,74
1689045938.0925665,74
1689045939.1205647,74
1689045940.1077862,74
1689045941.0937846,74
1689045942.1237795,74
1689045943.107777,74
1689045944.0937748,74
1689045945.1248372,74
1689045946.107135,74
1689045947.0931375,74
1689045948.0936084,75
1689045949.0932388,76
1689045950.1212132,76
1689045951.104938,76
1689045952.0946605,76
1689045953.1243565,76
1689045954.1080425,76
1689045955.0942912,76
1689045956.1252933,76
