timestamp,spo2
1689046708.1529517,99
1689046709.184009,99
1689046710.1675446,99
1689046711.164126,99
1689046712.1531198,99
1689046713.1808264,99
1689046714.1790447,98
1689046715.164686,98
1689046716.1535778,98
1689046717.1866467,98
1689046718.1685321,98
1689046719.1545305,98
1689046720.1852667,98
1689046721.1680522,98
1689046722.154449,98
1689046723.1539123,98
1689046724.181672,98
1689046725.1658082,98
1689046726.153802,98
1689046727.182099,98
1689046728.1660979,98
1689046729.1550958,98
1689046730.1880944,98
1689046731.1691093,98
1689046732.1551032,98
1689046733.1859972,98
1689046734.169006,98
1689046735.154987,98
1689046736.1545274,98
1689046737.1545296,98
1689046738.1546555,98
1689046739.1558847,98
1689046740.185883,98
1689046741.1698785,98
1689046742.166665,98
1689046743.155516,98
1689046744.1847003,98
1689046745.1668413,98
1689046746.1558352,98
1689046747.1837676,98
1689046748.166766,98
1689046749.1558142,98
1689046750.1838384,98
1689046751.167973,98
1689046752.156976,98
1689046753.1839702,98
1689046754.1679685,98
1689046755.156971,98
1689046756.1874251,98
1689046757.1714478,98
1689046758.1567273,98
1689046759.19246,98
1689046760.18233,98
1689046761.1684482,98
1689046762.1574512,98
1689046763.190462,98
1689046764.1705537,98
1689046765.1685526,97
1689046766.1655567,97
1689046767.1581087,97
1689046768.1877,97
1689046769.1721025,97
1689046770.1581051,97
1689046771.1581035,97
1689046772.1870973,97
1689046773.1691973,97
1689046774.1576223,97
1689046775.1856194,97
1689046776.1702647,97
1689046777.159263,97
1689046778.1888077,97
1689046779.1917408,96
1689046780.173317,96
1689046781.1704261,96
1689046782.1590433,96
1689046783.186716,96
1689046784.1699274,96
1689046785.1589293,96
1689046786.1899233,96
1689046787.1730998,96
1689046788.158981,96
1689046789.1599836,96
1689046790.1869783,96
1689046791.1709762,96
1689046792.1594515,96
1689046793.1924584,96
1689046794.1734488,96
1689046795.1704469,96
1689046796.1601045,96
1689046797.1911306,96
1689046798.1741307,96
1689046799.1601248,96
1689046800.159654,96
1689046801.160276,95
1689046802.18827,95
1689046803.1754465,95
1689046804.160439,95
1689046805.1913285,95
1689046806.1753306,95
1689046807.1613243,95
1689046808.192348,95
1689046809.177697,95
1689046810.1696951,95
1689046811.1604936,95
1689046812.1614928,94
1689046813.188838,94
1689046814.1748316,94
1689046815.1618297,94
1689046816.1917727,94
1689046817.1937752,94
1689046818.1757734,94
1689046819.161768,94
1689046820.1932316,94
1689046821.190234,93
1689046822.1734889,93
1689046823.1616457,93
1689046824.1900904,93
1689046825.174081,93
1689046826.1616838,93
1689046827.1898675,93
1689046828.173862,93
1689046829.1630192,93
1689046830.1910188,93
1689046831.1740208,93
1689046832.174336,93
1689046833.1733346,93
1689046834.1623328,93
1689046835.1913314,93
1689046836.1742685,93
1689046837.1720054,92
1689046838.1750033,92
1689046839.1750054,92
1689046840.163761,92
1689046841.1905606,92
1689046842.1745548,92
1689046843.163609,92
1689046844.1916034,92
1689046845.1746027,92
1689046846.1636543,92
1689046847.1916459,92
1689046848.1744814,92
1689046849.1633732,92
1689046850.1921406,92
1689046851.176612,92
1689046852.1646137,92
1689046853.1950085,92
1689046854.1790078,92
1689046855.1650057,92
1689046856.194819,92
1689046857.1978166,93
1689046858.1788116,93
1689046859.1646805,93
1689046860.1956851,93
1689046861.1792102,93
1689046862.1652093,93
1689046863.201207,93
1689046864.1924093,93
1689046865.1764019,93
1689046866.1654,93
1689046867.1934,93
1689046868.1793962,93
1689046869.1763952,93
1689046870.176393,93
1689046871.16589,93
1689046872.1988928,93
1689046873.1802146,93
1689046874.1661515,93
1689046875.1657393,93
1689046876.1937332,93
1689046877.1777315,93
1689046878.1668792,93
1689046879.196918,93
1689046880.1808517,93
1689046881.1783829,92
1689046882.1665945,92
1689046883.195084,92
1689046884.1772604,92
1689046885.1672635,92
1689046886.2001977,92
1689046887.18074,92
1689046888.1668317,92
1689046889.198243,92
1689046890.181246,92
1689046891.1788409,92
1689046892.167454,92
1689046893.195777,92
1689046894.1786401,92
1689046895.1676388,92
1689046896.167639,91
1689046897.1675453,91
1689046898.168067,91
1689046899.2040627,91
1689046900.2011182,91
1689046901.1822839,91
1689046902.1795564,91
1689046903.1689057,91
1689046904.1959105,91
1689046905.180029,91
1689046906.169171,91
1689046907.2016842,91
1689046908.1826825,91
1689046909.1796815,91
1689046910.1689677,91
1689046911.1968124,91
1689046912.1794722,91
1689046913.177469,92
1689046914.168289,92
1689046915.169288,93
1689046916.17495,94
1689046917.1701565,94
1689046918.170151,94
1689046919.1701534,95
1689046920.1697311,96
1689046921.16948,97
1689046922.1700237,98
1689046923.1695964,98
1689046924.197308,98
1689046925.1815975,98
1689046926.169743,98
1689046927.197741,98
1689046928.1818602,98
1689046929.1708624,98
1689046930.1986165,98
1689046931.1817226,98
1689046932.1707184,98
1689046933.1986928,98
1689046934.1846914,98
1689046935.1706858,98
1689046936.2016973,98
1689046937.1842222,98
