timestamp,bvp
1689046708.9000764,44
1689046708.9500768,41
1689046709.000077,37
1689046709.0500753,34
1689046709.100624,32
1689046709.1501186,31
1689046709.184009,30
1689046709.2340033,29
1689046709.2840042,29
1689046709.3340092,40
1689046709.3840091,57
1689046709.434003,61
1689046709.484003,56
1689046709.5340035,50
1689046709.584003,46
1689046709.6340075,45
1689046709.6840026,45
1689046709.734532,44
1689046709.7835393,40
1689046709.834534,37
1689046709.8835344,33
1689046709.934535,30
1689046709.984534,28
1689046710.034539,27
1689046710.0845335,26
1689046710.1345384,25
1689046710.1675446,33
1689046710.2229795,47
1689046710.2732515,60
1689046710.3232563,59
1689046710.3812513,52
1689046710.4312513,43
1689046710.480637,40
1689046710.5311272,40
1689046710.5811236,40
1689046710.6311235,38
1689046710.681127,33
1689046710.7311227,27
1689046710.7811224,23
1689046710.8311267,19
1689046710.8811226,17
1689046710.9311266,16
1689046710.9811218,14
1689046711.0311275,14
1689046711.0811265,30
1689046711.1311262,56
1689046711.164126,66
1689046711.214121,61
1689046711.2641215,50
1689046711.314122,40
1689046711.364127,36
1689046711.414126,37
1689046711.464124,39
1689046711.514122,38
1689046711.5641255,32
1689046711.6141217,25
1689046711.6641252,17
1689046711.7141218,14
1689046711.7641275,12
1689046711.8141203,11
1689046711.8671203,23
1689046711.91612,53
1689046711.964125,71
1689046712.0141199,65
1689046712.0641248,54
1689046712.1141202,42
1689046712.1531198,38
1689046712.1981366,39
1689046712.2481196,40
1689046712.298126,38
1689046712.3481202,32
1689046712.3981206,27
1689046712.4481194,19
1689046712.498124,15
1689046712.5481195,13
1689046712.5981238,19
1689046712.648119,54
1689046712.6981235,74
1689046712.747812,73
1689046712.7979846,63
1689046712.8479843,52
1689046712.8979843,44
1689046712.9479237,43
1689046712.998389,45
1689046713.0478268,43
1689046713.0978308,38
1689046713.147826,31
1689046713.1808264,27
1689046713.2308307,25
1689046713.2808259,23
1689046713.3308303,32
1689046713.3808258,57
1689046713.4308302,73
1689046713.480826,70
1689046713.5308301,63
1689046713.580825,56
1689046713.63083,50
1689046713.6808248,47
1689046713.7308295,47
1689046713.7808256,44
1689046713.8308246,40
1689046713.8948295,32
1689046713.9452083,29
1689046713.9953723,27
1689046714.045368,31
1689046714.095372,47
1689046714.1453679,65
1689046714.1790447,67
1689046714.2287657,63
1689046714.2793536,58
1689046714.3293438,54
1689046714.3806884,51
1689046714.4306877,50
1689046714.480688,48
1689046714.5306892,44
1689046714.580692,40
1689046714.6306915,37
1689046714.6806872,35
1689046714.7306874,33
1689046714.7806869,32
1689046714.8306913,39
1689046714.8806882,54
1689046714.9306872,63
1689046714.9806955,62
1689046715.0306914,57
1689046715.0806873,53
1689046715.1306932,49
1689046715.164686,47
1689046715.2153025,46
1689046715.2654698,44
1689046715.3154707,40
1689046715.366475,37
1689046715.4154706,34
1689046715.4649498,32
1689046715.5155222,31
1689046715.5649765,30
1689046715.6157303,31
1689046715.6649945,41
1689046715.714585,57
1689046715.7645888,61
1689046715.8155847,56
1689046715.865021,52
1689046715.9153953,48
1689046715.9652033,45
1689046716.0145772,45
1689046716.065578,43
1689046716.114582,40
1689046716.1535778,35
1689046716.1975813,32
1689046716.2485769,29
1689046716.2975812,27
1689046716.3485765,27
1689046716.3976479,25
1689046716.4476552,24
1689046716.4976478,25
1689046716.5476532,40
1689046716.5976522,57
1689046716.647649,60
1689046716.6976526,54
1689046716.747648,47
1689046716.798648,43
1689046716.8476477,41
1689046716.897648,41
1689046716.9476519,40
1689046716.9976473,36
1689046717.0476475,31
1689046717.0976472,26
1689046717.1476474,22
1689046717.1866467,19
1689046717.2336466,18
1689046717.2836475,17
1689046717.3336525,15
1689046717.3836508,18
1689046717.4336517,40
1689046717.4836462,62
1689046717.5336468,62
1689046717.5836508,53
1689046717.6336458,44
1689046717.6836512,40
1689046717.733646,40
1689046717.7840366,40
1689046717.834532,38
1689046717.8845315,32
1689046717.933531,25
1689046717.9835355,20
1689046718.0335312,18
1689046718.084535,18
1689046718.13453,17
1689046718.1685321,18
1689046718.2185466,28
1689046718.2685344,54
1689046718.3185344,68
1689046718.3675306,61
1689046718.418535,51
1689046718.4685342,41
1689046718.5185342,38
1689046718.5685344,40
1689046718.6185293,40
1689046718.6675355,37
1689046718.7185292,30
1689046718.7685292,23
1689046718.8185291,19
1689046718.8685288,17
1689046718.918529,17
1689046718.9685292,18
1689046719.0185287,38
1689046719.0685287,64
1689046719.1185334,71
1689046719.1545305,64
1689046719.2005284,58
1689046719.2515304,49
1689046719.300528,44
1689046719.3515327,43
1689046719.400529,44
1689046719.4515326,41
1689046719.5015285,37
1689046719.5515294,31
1689046719.6015277,28
1689046719.6505432,28
1689046719.7015285,29
1689046719.7515278,32
1689046719.8015277,46
1689046719.8515275,66
1689046719.9005277,70
1689046719.9515326,65
1689046720.0015278,59
1689046720.051529,54
1689046720.1015286,50
1689046720.151527,49
1689046720.1852667,47
1689046720.235001,45
1689046720.2850053,40
1689046720.3350003,36
1689046720.3850029,33
1689046720.4350061,31
1689046720.4850051,31
1689046720.5351975,31
1689046720.585057,36
1689046720.6350522,51
1689046720.685052,63
1689046720.7350526,59
1689046720.7850568,53
1689046720.8350573,49
1689046720.8850582,46
1689046720.9350572,45
1689046720.9850562,44
1689046721.0350516,41
1689046721.085056,38
1689046721.1350513,33
1689046721.1680522,30
1689046721.2180562,29
1689046721.2680511,29
1689046721.3180556,29
1689046721.3680515,28
1689046721.4180555,35
1689046721.4680512,52
1689046721.5180557,61
1689046721.568051,57
1689046721.6184464,50
1689046721.668451,45
1689046721.7184453,43
1689046721.7684498,42
1689046721.81845,42
1689046721.8684454,40
1689046721.9184492,35
1689046721.9684463,31
1689046722.018445,28
1689046722.0684457,26
1689046722.118449,25
1689046722.154449,23
1689046722.2044442,22
1689046722.2544444,22
1689046722.304445,38
1689046722.3654494,59
1689046722.413444,61
1689046722.4634483,53
1689046722.5135248,44
1689046722.5634484,39
1689046722.6134498,39
1689046722.6634638,40
1689046722.713448,38
1689046722.7627244,33
1689046722.812738,25
1689046722.862891,18
1689046722.9128911,13
1689046722.962895,11
1689046723.0128946,10
1689046723.0629122,9
1689046723.1129086,19
1689046723.1539123,49
1689046723.1959078,66
1689046723.245908,67
1689046723.2957335,56
1689046723.345729,42
1689046723.3987288,33
1689046723.448728,31
1689046723.4991558,36
1689046723.548928,36
1689046723.5989237,31
1689046723.6489236,24
1689046723.6989276,18
1689046723.7489285,14
1689046723.7989228,11
1689046723.8489234,10
1689046723.8989236,25
1689046723.9489272,64
1689046723.9989235,77
1689046724.0489235,70
1689046724.0989223,57
1689046724.1489227,45
1689046724.181672,40
1689046724.231805,40
1689046724.2818103,42
1689046724.3318057,41
1689046724.3818047,35
1689046724.4318094,28
1689046724.4818048,21
1689046724.5318055,17
1689046724.5818107,15
1689046724.6318052,14
1689046724.6818092,37
1689046724.7318048,70
1689046724.781805,79
1689046724.8318088,70
1689046724.881804,59
1689046724.9318087,50
1689046724.9818099,44
1689046725.0318055,45
1689046725.0818086,45
1689046725.1318045,40
1689046725.1658082,34
1689046725.215804,29
1689046725.2658048,23
