timestamp,hr
1689042504.8360174,64
1689042505.8255694,64
1689042506.8525522,64
1689042507.835978,64
1689042508.8359785,64
1689042509.8329713,64
1689042510.8359685,64
1689042511.8559678,60
1689042512.8389697,57
1689042513.8561652,56
1689042514.8531594,68
1689042515.8362494,68
1689042516.8252466,68
1689042517.8532407,68
1689042518.83724,68
1689042519.8262365,68
1689042520.8562367,68
1689042521.8402333,68
1689042522.8262327,68
1689042523.8572364,68
1689042524.8402328,68
1689042525.8262281,68
1689042526.8572252,68
1689042527.8586688,68
1689042528.8396716,70
1689042529.857499,68
1689042530.8400621,67
1689042531.82706,67
1689042532.862092,67
1689042533.8550591,70
1689042534.8380556,70
1689042535.827054,70
1689042536.858052,70
1689042537.8440502,70
1689042538.838049,70
1689042539.827049,70
1689042540.8358364,70
1689042541.8398342,71
1689042542.8268325,71
1689042543.8638308,69
1689042544.854829,67
1689042545.8418262,67
1689042546.827826,67
1689042547.8358245,67
1689042548.8278236,67
1689042549.858821,65
1689042550.8418207,65
1689042551.8278172,65
1689042552.8588758,65
1689042553.841813,65
1689042554.8278162,65
1689042555.8638144,65
1689042556.8558087,64
1689042557.8398104,64
1689042558.828806,64
1689042559.8565502,64
1689042560.8395498,64
1689042561.8285475,64
1689042562.8565464,64
1689042563.853545,64
1689042564.8375435,64
1689042565.8285458,64
1689042566.8565795,64
1689042567.855429,64
1689042568.8414278,64
1689042569.8301573,64
1689042570.8581574,64
1689042571.841155,64
1689042572.8299701,64
1689042573.8649693,65
1689042574.8579671,66
1689042575.8609676,66
1689042576.8439648,67
1689042577.840967,68
1689042578.829965,68
1689042579.8629594,68
1689042580.8439577,67
1689042581.84159,67
1689042582.830593,67
1689042583.858591,67
1689042584.84159,67
1689042585.830588,67
1689042586.8585844,67
1689042587.8414817,67
1689042588.830481,67
1689042589.858479,67
1689042590.841478,67
1689042591.8304756,67
1689042592.85937,67
1689042593.8424988,67
1689042594.8323026,67
1689042595.8319654,67
1689042596.856837,67
