timestamp,bvp
1689042505.385638,66
1689042505.4356296,57
1689042505.4856913,51
1689042505.5356338,48
1689042505.5856292,47
1689042505.6360867,42
1689042505.6861851,36
1689042505.7361815,29
1689042505.7865605,24
1689042505.8255694,22
1689042505.8695612,21
1689042505.9185648,20
1689042505.968561,18
1689042506.018561,17
1689042506.0691125,17
1689042506.119113,31
1689042506.1691122,69
1689042506.2191164,84
1689042506.2691123,78
1689042506.3191159,66
1689042506.369112,58
1689042506.4191122,53
1689042506.4691122,52
1689042506.5191133,48
1689042506.5691116,41
1689042506.6191115,35
1689042506.6685486,29
1689042506.719549,26
1689042506.769549,24
1689042506.8185523,23
1689042506.8525522,22
1689042506.9015481,21
1689042506.952548,20
1689042507.0025482,18
1689042507.0519695,35
1689042507.101976,62
1689042507.1519756,82
1689042507.2019746,75
1689042507.2519803,63
1689042507.301975,54
1689042507.3519757,51
1689042507.4019754,53
1689042507.4519756,52
1689042507.5019746,45
1689042507.5519755,37
1689042507.6019752,31
1689042507.6519785,26
1689042507.7019734,24
1689042507.7519746,23
1689042507.8019738,21
1689042507.835978,20
1689042507.8859737,18
1689042507.9359765,17
1689042507.9859776,33
1689042508.0399745,66
1689042508.0889778,82
1689042508.138977,71
1689042508.1889775,59
1689042508.238978,53
1689042508.288977,52
1689042508.3389723,52
1689042508.3889735,46
1689042508.4389737,38
1689042508.4889731,30
1689042508.5530457,25
1689042508.6029782,23
1689042508.652978,23
1689042508.7029727,23
1689042508.7529788,22
1689042508.8029718,20
1689042508.8359785,21
1689042508.8859773,33
1689042508.9359767,64
1689042508.9860387,81
1689042509.0359714,73
1689042509.085976,59
1689042509.135972,49
1689042509.1859734,47
1689042509.2359736,48
1689042509.2859757,46
1689042509.3359754,39
1689042509.385972,30
1689042509.4359753,22
1689042509.4859762,15
1689042509.5499701,11
1689042509.6000583,9
1689042509.6500304,8
1689042509.699973,6
1689042509.7499712,6
1689042509.799971,29
1689042509.8329713,65
1689042509.8829708,76
1689042509.932971,69
1689042509.9830477,55
1689042510.0359712,43
1689042510.0859709,40
1689042510.13597,42
1689042510.1859708,41
1689042510.2359707,35
1689042510.285971,24
1689042510.3359697,16
1689042510.38597,11
1689042510.4359708,11
1689042510.485974,10
1689042510.5499697,8
1689042510.6029735,28
1689042510.6529737,58
1689042510.7029748,64
1689042510.7529695,52
1689042510.80297,38
1689042510.8359685,32
1689042510.8919702,37
1689042510.9419737,45
1689042510.9919744,44
1689042511.0529678,36
1689042511.1029725,25
1689042511.1530166,20
1689042511.2029676,20
1689042511.253035,21
1689042511.3029673,31
1689042511.3529682,58
1689042511.4029725,82
1689042511.4529686,78
1689042511.5029685,65
1689042511.5669694,54
1689042511.616972,56
1689042511.666968,61
1689042511.7169683,58
1689042511.7669737,47
