timestamp,hr
1689046434.13117,63
1689046435.1317544,63
1689046436.1620924,63
1689046437.145727,63
1689046438.1318896,63
1689046439.1627703,63
1689046440.1597729,63
1689046441.143771,63
1689046442.1327643,63
1689046443.1403048,64
1689046444.132854,64
1689046445.1658094,64
1689046446.1461842,63
1689046447.1320384,63
1689046448.1630375,63
1689046449.146285,63
1689046450.1326177,63
1689046451.163996,63
1689046452.1602602,63
1689046453.1471937,63
1689046454.1334114,63
1689046455.1636672,63
1689046456.147246,63
1689046457.1662433,64
1689046458.1473594,65
1689046459.1446896,66
1689046460.1427948,67
1689046461.1330361,68
1689046462.1334832,68
1689046463.1664782,70
1689046464.1474895,72
1689046465.1455178,73
1689046466.134516,73
1689046467.1649077,73
1689046468.153323,73
1689046469.1453333,73
1689046470.1344552,73
1689046471.162457,73
1689046472.1488726,73
1689046473.1435497,72
1689046474.1435483,72
1689046475.1475432,70
1689046476.1465447,69
1689046477.148855,66
1689046478.1358576,66
1689046479.1408522,66
1689046480.135854,65
1689046481.1688497,65
1689046482.149896,66
1689046483.1691566,67
1689046484.1521473,69
1689046485.1441505,69
1689046486.1441462,69
1689046487.1351428,69
1689046488.1714137,70
1689046489.163924,71
1689046490.1608932,71
1689046491.1478908,71
1689046492.1362882,71
1689046493.1655455,71
1689046494.1503575,71
1689046495.136213,71
1689046496.136853,71
1689046497.1368494,71
1689046498.1838477,71
1689046499.1367724,72
1689046500.1647155,72
1689046501.148739,72
1689046502.1485872,73
1689046503.1374538,73
1689046504.1872456,73
1689046505.1376672,74
1689046506.1726508,76
1689046507.1655254,77
1689046508.1515095,77
1689046509.1378653,77
1689046510.168862,77
1689046511.151518,77
1689046512.1376538,77
1689046513.1372662,77
1689046514.1652644,77
1689046515.1497197,77
1689046516.1496162,76
1689046517.138788,76
1689046518.166424,76
1689046519.1635292,76
1689046520.149224,76
1689046521.1692202,75
1689046522.1632912,74
1689046523.1606355,73
1689046524.1495092,73
1689046525.1505075,72
1689046526.1503491,71
1689046527.1689932,70
1689046528.1529956,68
1689046529.13949,68
1689046530.1501758,67
1689046531.15017,68
1689046532.1506257,69
1689046533.1393905,69
1689046534.1744232,70
1689046535.1640854,72
1689046536.152643,72
1689046537.1396801,72
1689046538.1706822,72
1689046539.1672533,72
1689046540.1512697,72
1689046541.140265,72
1689046542.1686049,72
1689046543.1509597,72
1689046544.1399763,72
1689046545.1399739,73
1689046546.1748486,75
1689046547.1906328,76
1689046548.1402445,77
1689046549.1682425,77
1689046550.1653516,77
1689046551.1523497,77
1689046552.1411672,77
1689046553.1759481,76
1689046554.1708608,75
1689046555.154863,75
1689046556.14127,75
1689046557.1716547,75
1689046558.1556575,75
1689046559.1410842,75
1689046560.1410954,74
1689046561.1417177,73
1689046562.1412146,72
1689046563.1691744,72
1689046564.1532173,72
1689046565.1427386,72
1689046566.169489,72
1689046567.1536446,72
1689046568.1418252,72
1689046569.1423028,71
1689046570.1699655,71
1689046571.153739,71
1689046572.1426513,71
1689046573.1418538,71
1689046574.1427891,72
1689046575.173321,73
1689046576.1573138,73
1689046577.1433132,73
1689046578.1732075,73
1689046579.1574395,73
1689046580.1543207,74
1689046581.1544223,76
1689046582.1435149,76
1689046583.1781404,76
1689046584.1606436,77
1689046585.1526616,77
1689046586.1428976,77
1689046587.174465,77
1689046588.1574595,77
1689046589.144562,77
1689046590.174556,77
1689046591.158558,77
1689046592.1445522,77
1689046593.1525505,76
1689046594.152677,76
1689046595.143851,76
1689046596.1438527,75
1689046597.1753001,75
1689046598.1582983,75
1689046599.1552966,75
1689046600.1692944,74
1689046601.1697624,74
1689046602.1558747,74
1689046603.1528711,74
1689046604.1738698,72
1689046605.155897,72
1689046606.145524,72
1689046607.1737623,72
1689046608.1557453,72
1689046609.1449287,72
1689046610.1759262,72
1689046611.1589205,72
1689046612.1449184,72
1689046613.1763709,72
