timestamp,bvp
1689046434.5281694,44
1689046434.578169,43
1689046434.6281695,40
1689046434.6781695,38
1689046434.7281687,35
1689046434.7781942,34
1689046434.8437588,33
1689046434.892755,32
1689046434.9427547,31
1689046434.9927542,29
1689046435.0427544,28
1689046435.092759,28
1689046435.1317544,39
1689046435.1767535,51
1689046435.2280476,58
1689046435.2780936,55
1689046435.3280935,51
1689046435.3780928,49
1689046435.428093,46
1689046435.478093,44
1689046435.5280926,43
1689046435.578093,41
1689046435.6280928,38
1689046435.6780927,35
1689046435.7290926,32
1689046435.7790942,31
1689046435.8290918,29
1689046435.8790915,28
1689046435.9290924,27
1689046435.9790926,25
1689046436.029092,24
1689046436.0790915,22
1689046436.1290915,24
1689046436.1620924,40
1689046436.2120912,52
1689046436.2620912,59
1689046436.3120918,55
1689046436.3620927,50
1689046436.4120905,47
1689046436.4620914,44
1689046436.5120919,42
1689046436.5620906,41
1689046436.6120908,40
1689046436.662091,36
1689046436.7120914,31
1689046436.7627363,27
1689046436.8127396,24
1689046436.8627346,22
1689046436.9120781,21
1689046436.962272,19
1689046437.0127268,17
1689046437.0627313,16
1689046437.1127317,29
1689046437.145727,51
1689046437.1957269,59
1689046437.2457318,57
1689046437.2957315,50
1689046437.3457308,44
1689046437.3957312,40
1689046437.445732,40
1689046437.4957273,40
1689046437.5457304,38
1689046437.5957263,33
1689046437.6457303,27
1689046437.6957264,22
1689046437.7453072,19
1689046437.7953117,17
1689046437.8453066,16
1689046437.8953066,17
1689046437.9453108,35
1689046437.9958901,59
1689046438.0458908,64
1689046438.0958908,58
1689046438.1318896,51
1689046438.179892,47
1689046438.2298944,42
1689046438.2798896,42
1689046438.32989,43
1689046438.37989,40
1689046438.4298897,36
1689046438.4799044,31
1689046438.5298898,27
1689046438.5798905,25
1689046438.6298935,23
1689046438.6808896,22
1689046438.729889,29
1689046438.7798886,50
1689046438.8298895,66
1689046438.8798883,65
1689046438.929889,59
1689046438.9794462,54
1689046439.0295985,50
1689046439.0797706,48
1689046439.1297703,47
1689046439.1627703,45
1689046439.2127738,42
1689046439.2627726,37
1689046439.31277,33
1689046439.36277,30
1689046439.4127707,28
1689046439.4627697,28
1689046439.5127707,28
1689046439.5627694,38
1689046439.6127696,56
1689046439.6627693,63
1689046439.7127683,60
1689046439.7627702,56
1689046439.8127735,52
1689046439.8767729,47
1689046439.9267683,46
1689046439.9767725,45
1689046440.026769,41
1689046440.0767725,37
1689046440.1267724,33
1689046440.1597729,32
1689046440.2097692,33
1689046440.259773,33
1689046440.309772,32
1689046440.3597722,31
1689046440.4097674,40
1689046440.4597723,56
1689046440.5097678,62
1689046440.5597675,59
1689046440.609767,55
1689046440.6597672,52
1689046440.7097716,49
1689046440.759767,47
1689046440.8097715,46
1689046440.8597674,43
1689046440.9097664,40
1689046440.9597714,37
1689046441.0097678,35
1689046441.0597708,34
1689046441.1097667,33
1689046441.143771,32
1689046441.1937664,31
1689046441.2437706,32
1689046441.2937665,42
1689046441.3447707,56
1689046441.3937657,60
1689046441.4437654,56
1689046441.4937665,53
1689046441.5437665,51
1689046441.593766,47
1689046441.6437702,46
1689046441.6937654,44
1689046441.74377,41
1689046441.793765,38
1689046441.843768,36
1689046441.8937693,34
1689046441.9437644,33
1689046441.9937654,32
1689046442.0437696,31
1689046442.0937662,30
1689046442.1327643,29
1689046442.1827648,28
1689046442.2357647,34
1689046442.285764,49
1689046442.343834,59
1689046442.3937652,57
1689046442.4437654,53
1689046442.4937646,51
1689046442.5437686,48
1689046442.5937636,46
1689046442.6437638,44
1689046442.6934986,42
1689046442.743499,39
1689046442.7933052,36
1689046442.8573022,33
1689046442.907305,32
1689046442.957301,31
1689046443.0073006,29
1689046443.0573046,28
1689046443.1073008,26
1689046443.1403048,25
1689046443.1903002,24
1689046443.2403,22
1689046443.2900498,32
1689046443.3431902,51
1689046443.393989,61
1689046443.4435022,58
1689046443.4931812,53
1689046443.543855,49
1689046443.5938547,46
1689046443.6438546,45
1689046443.693854,44
1689046443.7438545,41
1689046443.7938542,38
1689046443.8438587,34
1689046443.8938541,32
1689046443.9438534,30
1689046443.9938552,28
1689046444.0438552,27
1689046444.0938544,25
1689046444.132854,22
1689046444.1768582,21
1689046444.226853,18
1689046444.2768605,19
1689046444.3268528,40
1689046444.376854,57
1689046444.4268534,61
1689046444.4768531,57
1689046444.5268545,51
1689046444.5768526,45
1689046444.6268573,43
1689046444.676858,43
1689046444.726853,42
1689046444.776814,38
1689046444.8268096,33
1689046444.8768137,28
1689046444.9268095,25
1689046444.9768093,24
1689046445.0268097,23
1689046445.0768158,21
1689046445.1268137,19
1689046445.1658094,17
1689046445.2138133,19
1689046445.263809,31
1689046445.3138087,57
1689046445.3638105,67
1689046445.4138088,61
1689046445.4638088,51
1689046445.5138075,45
1689046445.563311,42
1689046445.6131852,42
1689046445.6631846,40
1689046445.713185,36
1689046445.7631848,29
1689046445.8131852,23
1689046445.8631842,19
1689046445.9131856,16
1689046445.9631848,14
1689046446.013185,12
1689046446.0631847,11
1689046446.1131845,27
1689046446.1461842,58
1689046446.1961846,71
1689046446.246184,69
1689046446.296184,61
1689046446.3461843,54
1689046446.396184,48
1689046446.4461837,47
1689046446.496184,46
1689046446.5461836,43
1689046446.596183,37
1689046446.646109,31
1689046446.6965783,26
1689046446.7464628,24
1689046446.7964582,23
1689046446.8464627,23
1689046446.896459,22
1689046446.9464629,28
1689046446.9964638,52
1689046447.0460377,72
1689046447.097038,71
1689046447.1320384,64
1689046447.1790378,60
1689046447.229038,55
1689046447.279038,53
1689046447.3290377,51
1689046447.3790379,50
1689046447.4290373,46
1689046447.4790373,40
1689046447.5290372,37
1689046447.5790365,35
1689046447.6290364,33
1689046447.6800368,32
1689046447.729037,30
1689046447.7790365,29
1689046447.8290358,40
1689046447.8790364,59
1689046447.9290366,65
1689046447.9790359,61
