timestamp,hr
1689045069.0554576,84
1689045070.0385857,84
1689045071.0252094,84
1689045072.0557928,84
1689045073.0387871,84
1689045074.0244572,84
1689045075.025413,83
1689045076.0253818,82
1689045077.0255053,81
1689045078.0607316,80
1689045079.058725,78
1689045080.0396724,77
1689045081.037101,76
1689045082.0289717,75
1689045083.0254295,74
1689045084.0259645,73
1689045085.026045,73
1689045086.0270755,72
1689045087.0266798,72
1689045088.0266747,73
1689045089.0266721,74
1689045090.057094,74
1689045091.0409636,74
1689045092.0265226,74
1689045093.0580456,74
1689045094.0409658,74
1689045095.0269616,74
1689045096.0579627,74
1689045097.0409617,74
1689045098.0269544,74
1689045099.0580807,74
1689045100.0404997,74
1689045101.0275574,74
1689045102.0575948,74
1689045103.0416822,74
1689045104.0276792,74
1689045105.0586774,74
1689045106.041239,74
1689045107.0272632,74
1689045108.058266,74
1689045109.0552595,74
1689045110.0392227,74
1689045111.0282207,74
1689045112.0552802,74
1689045113.0402222,74
1689045114.0292177,74
1689045115.056214,74
1689045116.0399628,74
1689045117.0392654,75
1689045118.0402625,74
1689045119.0362105,74
1689045120.0288997,74
1689045121.02925,73
1689045122.0597987,73
1689045123.042798,73
1689045124.0289857,73
1689045125.0599797,73
1689045126.043833,73
1689045127.0598276,72
1689045128.0438297,71
1689045129.0298235,71
1689045130.0609188,71
1689045131.0440137,71
1689045132.0300114,71
1689045133.0610144,71
1689045134.0438132,71
1689045135.0296435,71
1689045136.0606458,71
1689045137.0436404,71
1689045138.041313,71
1689045139.0443113,70
1689045140.0310633,70
1689045141.0608842,70
1689045142.052814,70
1689045143.0430222,70
1689045144.03102,70
1689045145.059023,70
1689045146.0413303,70
1689045147.0308788,70
1689045148.0588763,70
1689045149.0428696,70
1689045150.042869,71
1689045151.0539248,71
1689045152.0422688,71
1689045153.031268,71
1689045154.0593238,71
1689045155.0440278,71
1689045156.0316331,71
1689045157.06644,72
1689045158.0563066,73
1689045159.042301,73
1689045160.0313034,73
1689045161.0593383,73
1689045162.043337,73
1689045163.0433362,74
1689045164.0323381,74
1689045165.037332,74
1689045166.0323348,74
1689045167.060329,74
1689045168.0443316,74
1689045169.0323303,74
1689045170.0673301,75
1689045171.0633326,76
1689045172.046331,77
1689045173.0328546,77
1689045174.032849,77
1689045175.0688467,78
1689045176.0638447,79
1689045177.0478477,80
1689045178.0338464,80
1689045179.033258,81
1689045180.061252,81
1689045181.0442545,81
1689045182.033201,81
1689045183.062065,81
1689045184.045063,81
1689045185.0340652,81
1689045186.0613103,81
1689045187.0453084,81
1689045188.034911,81
1689045189.0649128,80
1689045190.0483792,80
1689045191.0347788,80
1689045192.0657816,80
1689045193.0487487,80
1689045194.0458446,79
1689045195.0458434,78
1689045196.0348449,78
1689045197.0348384,77
1689045198.034842,75
1689045199.0658355,75
1689045200.049074,75
1689045201.035655,75
1689045202.035653,75
1689045203.0636508,75
1689045204.046649,75
1689045205.035648,75
1689045206.063545,75
1689045207.0461502,75
1689045208.0351472,75
1689045209.0661454,75
1689045210.0499012,75
1689045211.047904,74
1689045212.047861,73
1689045213.036859,73
1689045214.063914,73
1689045215.0479174,73
1689045216.0366414,73
1689045217.0645351,73
1689045218.047532,73
1689045219.0365255,73
1689045220.07186,74
1689045221.0618632,75
1689045222.049862,75
1689045223.0368602,75
1689045224.067858,76
1689045225.050852,76
1689045226.0378513,76
1689045227.0377483,78
1689045228.067826,78
1689045229.051824,78
1689045230.0378249,78
1689045231.0848248,78
1689045232.0688193,79
1689045233.0518215,79
1689045234.03782,79
1689045235.0735075,79
1689045236.070505,80
1689045237.0514996,79
1689045238.038502,79
1689045239.0684185,79
1689045240.0529692,79
1689045241.049967,79
1689045242.04944,80
1689045243.0384383,80
1689045244.0720038,80
1689045245.0530016,81
1689045246.0498314,81
1689045247.0384629,81
1689045248.0387788,81
1689045249.0387778,81
1689045250.0667722,81
1689045251.0397701,81
1689045252.044768,81
1689045253.0440087,81
1689045254.039007,81
1689045255.0739152,81
1689045256.0866637,80
1689045257.0709317,79
1689045258.0539296,79
1689045259.0399325,79
1689045260.0766425,79
1689045261.0722065,77
1689045262.0596068,76
1689045263.0656073,76
1689045264.0515988,76
1689045265.040597,76
1689045266.0735946,76
1689045267.054911,75
1689045268.0409,75
1689045269.0758984,75
1689045270.068896,74
1689045271.0548952,74
1689045272.0408936,74
1689045273.0885174,74
