timestamp,bvp
1689041406.7697117,24
1689041406.819712,23
1689041406.8697116,22
1689041406.9197109,21
1689041406.969715,25
1689041407.0197115,55
1689041407.0696273,95
1689041407.119623,104
1689041407.1706276,96
1689041407.2196229,61
1689041407.269623,57
1689041407.319623,54
1689041407.3696265,53
1689041407.4196231,49
1689041407.4696214,44
1689041407.5196223,39
1689041407.5696218,35
1689041407.619623,32
1689041407.6696932,31
1689041407.719622,31
1689041407.7526221,30
1689041407.802626,30
1689041407.8526325,40
1689041407.902891,63
1689041407.9529786,76
1689041408.0029821,71
1689041408.052978,64
1689041408.1029818,58
1689041408.1529782,54
1689041408.2029772,53
1689041408.252978,50
1689041408.3029776,45
1689041408.3529775,40
1689041408.4029768,36
1689041408.4529772,33
1689041408.5029812,31
1689041408.5529766,30
1689041408.602976,28
1689041408.6530387,26
1689041408.7029812,25
1689041408.7389762,35
1689041408.7859817,50
1689041408.835977,68
1689041408.8859758,67
1689041408.9359803,60
1689041408.9859765,53
1689041409.0359802,48
1689041409.0859766,48
1689041409.135976,47
1689041409.1859753,44
1689041409.2359762,39
1689041409.2862222,34
1689041409.3360686,30
1689041409.3860726,28
1689041409.4360669,28
1689041409.4860718,28
1689041409.5360715,27
1689041409.586067,26
1689041409.6360667,38
1689041409.6865602,60
1689041409.7353833,69
1689041409.77021,62
1689041409.8202066,56
1689041409.8702097,49
1689041409.920206,47
1689041409.9702058,51
1689041410.0202053,51
1689041410.0696979,47
1689041410.119741,41
1689041410.1697454,37
1689041410.2197406,34
1689041410.270745,33
1689041410.3197453,32
1689041410.3697457,30
1689041410.4197404,31
1689041410.4697447,44
1689041410.51974,61
1689041410.5697448,60
1689041410.6197407,51
1689041410.6697402,42
1689041410.7197397,38
1689041410.7537403,39
1689041410.8027442,40
1689041410.8527448,38
1689041410.9032755,33
1689041410.9533098,27
1689041411.002455,22
1689041411.052459,20
1689041411.1024542,20
1689041411.1524546,20
1689041411.2024586,20
1689041411.252454,19
1689041411.3024538,26
1689041411.3524544,49
1689041411.402455,72
1689041411.4524543,71
1689041411.5024583,62
1689041411.5524545,54
1689041411.6024585,49
1689041411.6524584,47
1689041411.7024531,46
1689041411.738458,41
1689041411.7864537,37
1689041411.8366551,31
1689041411.8867493,27
1689041411.9367476,25
1689041411.986743,24
1689041412.0367475,23
1689041412.0867429,22
1689041412.1367474,21
1689041412.1867468,20
1689041412.2367485,33
1689041412.286747,60
1689041412.3367426,75
1689041412.3867424,70
1689041412.4505188,61
1689041412.5005236,53
1689041412.550519,50
1689041412.600538,50
1689041412.650523,47
1689041412.7005205,42
1689041412.7385225,35
1689041412.7835228,29
1689041412.8335228,25
1689041412.883523,23
1689041412.9335184,22
1689041412.9835181,21
1689041413.0335183,20
1689041413.0835223,18
1689041413.133522,21
1689041413.1835222,48
1689041413.233519,71
1689041413.283527,72
1689041413.3335173,61
1689041413.3835227,52
1689041413.4335172,46
1689041413.4835234,46
1689041413.5345168,46
1689041413.5837789,42
1689041413.6335309,35
1689041413.6835334,28
1689041413.7335262,22
1689041413.7665265,20
1689041413.816531,19
1689041413.866527,19
1689041413.916531,19
1689041413.9665306,18
1689041414.016531,17
1689041414.066526,31
1689041414.117305,58
1689041414.1665733,72
1689041414.2167425,65
